City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
107,Port Alfred,ZA,-33.5906,26.891,55.18,79,99,1.99,overcast clouds
108,Cabo San Lucas,MX,22.8909,-109.9124,72.52,50,0,9.51,clear sky
109,Bengkulu,ID,-3.8004,102.2655,84.18,71,85,8.77,overcast clouds
110,Hervey Bay,AU,-25.2986,152.8535,73.15,63,99,20.71,overcast clouds
111,Sembe,CG,1.6481,14.5806,73.22,90,100,1.1,overcast clouds
112,Roberval,CA,48.5168,-72.2324,34.32,84,100,6.82,overcast clouds
113,Adamovka,RU,51.5223,59.9396,53.49,37,30,6.33,scattered clouds
114,Laguna,US,38.421,-121.4238,64.31,54,0,6.91,clear sky
115,Jamestown,US,42.097,-79.2353,71.19,63,100,5.75,overcast clouds
116,Mezen,RU,65.8522,44.24,34.3,81,70,6.44,broken clouds
117,Qaanaaq,GL,77.484,-69.3632,-0.76,66,65,8.39,broken clouds
118,Quatre Cocos,MU,-20.2078,57.7625,79.09,72,25,17.96,light rain
119,Nanortalik,GL,60.1432,-45.2371,34.61,94,100,10.78,overcast clouds
120,Umm Kaddadah,SD,13.6017,26.6876,87.66,6,52,9.51,broken clouds
121,Gbarnga,LR,6.9956,-9.4722,70.0,97,100,2.62,overcast clouds
122,Maloy,NO,61.9353,5.1136,44.33,82,76,19.48,broken clouds
123,Geraldton,AU,-28.7667,114.6,79.21,50,92,19.57,overcast clouds
124,Banjar,ID,-8.19,114.9675,83.98,79,74,2.77,broken clouds
125,Lao Cai,VN,22.4833,103.95,98.46,36,2,2.1,clear sky
126,Dongkan,CN,33.9997,119.8308,60.6,98,100,10.51,light rain
127,Pamanukan,ID,-6.2842,107.8106,89.29,61,48,7.45,scattered clouds
128,Bandarbeyla,SO,9.4942,50.8122,84.69,62,63,7.74,broken clouds
129,Ponta Do Sol,PT,32.6667,-17.1,64.0,91,100,9.71,moderate rain
130,Castro,BR,-24.7911,-50.0119,56.14,99,9,4.83,clear sky
131,Faanui,PF,-16.4833,-151.75,80.56,72,21,3.51,few clouds
132,Guerrero Negro,MX,27.9769,-114.0611,63.37,63,0,10.38,clear sky
133,Matay,EG,28.419,30.7792,73.58,28,0,15.3,clear sky
134,El Alto,PE,-4.2714,-81.2147,69.42,77,87,11.65,overcast clouds
135,Ostrovnoy,RU,68.0531,39.5131,34.81,99,99,4.54,overcast clouds
136,Turukhansk,RU,65.8167,87.9833,17.8,76,100,4.85,overcast clouds
137,Krasnovishersk,RU,60.4078,57.082,38.23,96,100,4.99,overcast clouds
138,Moron,AR,-34.6534,-58.6198,69.69,89,100,9.22,thunderstorm with rain
