City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
148,Svetlyy,RU,2022-04-24 13:26:31,54.675,20.1347,48.96,69,22,15.46
149,Tiarei,PF,2022-04-24 13:26:32,-17.5333,-149.3333,75.22,76,76,11.03
150,Bintulu,MY,2022-04-24 13:25:04,3.1667,113.0333,81.01,94,40,0.0
151,Tazovskiy,RU,2022-04-24 13:26:32,67.4667,78.7,4.5,96,88,4.92
152,San Patricio,US,2022-04-24 13:26:32,28.017,-97.5169,77.09,88,45,16.71
153,Atuona,PF,2022-04-24 13:26:33,-9.8,-139.0333,79.41,68,41,16.42
154,Zheleznodorozhnyy,RU,2022-04-24 13:26:33,55.7503,38.0042,52.56,81,100,9.55
155,Roald,NO,2022-04-24 13:26:33,62.5833,6.1333,56.32,66,0,12.66
156,Hualmay,PE,2022-04-24 13:26:34,-11.0964,-77.6139,68.63,81,67,6.93
157,Yerbogachen,RU,2022-04-24 13:26:34,61.2767,108.0108,25.38,84,100,0.89
158,Seredka,RU,2022-04-24 13:26:34,58.1584,28.1858,47.95,93,100,12.3
159,Umm Kaddadah,SD,2022-04-24 13:26:35,13.6017,26.6876,103.1,4,0,5.46
160,Kavieng,PG,2022-04-24 13:23:12,-2.5744,150.7967,82.36,75,23,9.04
161,Hirara,JP,2022-04-24 13:26:35,24.8,125.2833,77.74,90,0,12.06
162,Kyabe,TD,2022-04-24 13:26:35,9.4515,18.9449,102.24,23,100,3.98
163,Urazovo,RU,2022-04-24 13:26:36,50.0836,38.0395,63.21,56,47,12.21
164,Norman Wells,CA,2022-04-24 13:26:36,65.282,-126.8329,30.24,74,20,6.91
165,Shaghat,AM,2022-04-24 13:26:36,39.5625,45.9143,63.79,37,100,2.44
166,Wanaka,NZ,2022-04-24 13:26:36,-44.7,169.15,47.1,76,59,2.82
167,Brownsville,US,2022-04-24 13:26:37,25.9018,-97.4975,77.09,85,19,7.0
168,Oriximina,BR,2022-04-24 13:26:37,-1.7656,-55.8661,81.52,74,100,4.61
169,Pevek,RU,2022-04-24 13:26:37,69.7008,170.3133,0.9,100,99,3.18
170,Nantucket,US,2022-04-24 13:25:59,41.2835,-70.0995,48.34,67,100,18.41
171,Ancud,CL,2022-04-24 13:26:38,-41.8697,-73.8203,53.1,90,100,31.47
172,Liverpool,GB,2022-04-24 13:26:38,53.4106,-2.9779,63.9,46,40,18.41
173,Chumikan,RU,2022-04-24 13:26:38,54.7183,135.315,25.59,97,100,3.49
174,Mwinilunga,ZM,2022-04-24 13:27:00,-11.7358,24.4293,72.39,76,76,5.35
175,Upernavik,GL,2022-04-24 13:27:00,72.7868,-56.1549,4.39,86,66,9.42
