City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
126,Dongkan,CN,60.6,light rain,33.9997,119.8308,Triumphal Resort
129,Ponta Do Sol,PT,64.0,moderate rain,32.6667,-17.1,Hotel do Campo
132,Guerrero Negro,MX,63.37,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
133,Matay,EG,73.58,clear sky,28.419,30.7792,Nag Aespen
134,El Alto,PE,69.42,overcast clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
138,Moron,AR,69.69,thunderstorm with rain,-34.6534,-58.6198,Hotel Morón
141,Port Elizabeth,ZA,60.31,overcast clouds,-33.918,25.5701,39 On Nile Guest House
148,Fujin,CN,63.21,overcast clouds,47.26,132.0322,Xilong Hotel Fujin Shop
149,Upata,VE,73.42,overcast clouds,8.0086,-62.3989,Posada Villa Nela
157,Pisco,PE,66.25,mist,-13.7,-76.2167,Hotel San Isidro Oficial
160,Inongo,CD,73.29,overcast clouds,-1.95,18.2667,Hotel Du Lac
163,Namibe,AO,69.19,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
170,Restrepo,CO,62.94,overcast clouds,3.822,-76.5224,Apartaestudios Restrepo
179,Mount Isa,AU,73.17,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
181,Bardiyah,LY,63.91,broken clouds,31.7561,25.0865,بورتو بردية
182,East London,ZA,60.85,broken clouds,-33.0153,27.9116,Tu Casa
200,Sydney,AU,70.36,scattered clouds,-33.8679,151.2073,The Grace Sydney
201,Puerto Ayora,EC,71.55,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
206,Menongue,AO,61.29,scattered clouds,-14.6585,17.691,Ritz Lauca
207,Awjilah,LY,71.91,scattered clouds,29.1081,21.2869,المنزل
209,Abu Kamal,SY,74.35,scattered clouds,34.4506,40.9171,محطة التلفاز
211,New Norfolk,AU,61.66,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
213,Kongolo,CD,71.62,overcast clouds,-5.3833,27.0,GUEST HOUSE OASIS
226,Vilhena,BR,68.07,broken clouds,-12.7406,-60.1458,Hotel Mirage
242,Seydi,TM,73.36,few clouds,39.4816,62.9137,Seydi oteli
245,Batemans Bay,AU,66.09,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
247,Yacuiba,BO,68.13,clear sky,-22.038,-63.6797,Hotel Monumental
255,Tarrafal,CV,72.39,clear sky,15.2833,-23.7667,Hotel Ixola
257,Vao,NC,73.49,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
258,Cidreira,BR,66.97,clear sky,-30.1811,-50.2056,Hotel Castelo
262,Capiibary,PY,74.59,scattered clouds,-24.8,-56.0333,Hotel Toledo
264,Nuevo Imperial,PE,67.41,overcast clouds,-13.0754,-76.3172,Hotel Konford
265,Praxedis Guerrero,MX,63.16,clear sky,31.3667,-106.0167,Congregación placitas de Otero
268,Contamana,PE,72.66,light rain,-7.3333,-75.0167,Shiringal Touristic Park
276,Pauini,BR,72.66,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
277,Shenjiamen,CN,64.44,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
290,Awbari,LY,71.4,broken clouds,26.5921,12.7805,فندق أوباري
291,San Juan,AR,68.83,clear sky,-31.5375,-68.5364,Hotel Provincial
299,Juba,SS,73.24,light rain,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
302,Coahuayana,MX,67.68,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
304,Port Pirie,AU,73.49,overcast clouds,-33.1833,138.0167,John Pirie Motor Inn
305,Hwange,ZW,70.63,clear sky,-18.3693,26.5019,Hwange Colliery Guest House
308,Ostuacan,MX,72.97,clear sky,17.4167,-93.3,HACIENDA JUAREZ
309,Miracatu,BR,68.74,overcast clouds,-24.2814,-47.4597,Hotel Van Monet
